turn 0
loadtime 3000
turntime 1000
rows 112
cols 112
turns 1000
viewradius2 55
attackradius2 5
spawnradius2 1
player_seed 42
ready
turn 1
w 31 94
w 32 95
w 33 86
w 33 87
w 33 89
w 33 92
w 33 94
w 33 95
w 33 96
w 34 87
w 34 88
w 34 89
w 34 90
w 34 91
w 34 92
w 34 93
w 34 94
w 34 95
w 34 96
w 35 87
w 35 88
w 35 89
w 35 90
w 35 91
w 35 92
w 35 93
w 35 94
w 35 95
w 35 96
w 35 97
w 36 87
w 36 88
w 36 89
w 36 90
w 36 91
w 36 92
w 36 93
w 36 94
w 36 95
w 36 96
w 37 86
w 37 87
w 37 88
w 37 89
w 37 95
w 37 96
w 38 87
w 38 88
w 38 95
w 38 96
w 38 97
w 39 86
w 39 87
w 39 88
w 39 89
w 39 94
w 39 95
w 39 96
w 40 87
w 40 88
w 40 95
w 40 96
w 41 87
w 41 88
w 41 89
w 41 94
w 41 95
w 41 96
w 42 87
w 42 88
w 42 94
w 42 95
w 43 87
w 43 88
w 43 89
w 43 94
h 37 90 0
a 37 90 0
f 31 89
f 37 91
f 38 92
f 39 93
go
turn 2
w 42 96
w 43 95
w 44 87
h 37 90 0
a 38 90 0
f 31 89
f 37 91
f 38 92
f 39 93
go
turn 3
w 34 97
w 42 97
w 43 96
w 44 95
h 37 90 0
a 38 91 0
f 31 89
f 39 93
go
turn 4
h 37 90 0
a 37 90 0
a 38 90 0
f 31 89
f 39 93
go
turn 5
w 31 95
w 32 96
h 37 90 0
a 37 90 0
a 37 91 0
a 39 90 0
f 31 89
f 39 93
go
turn 6
w 31 96
w 32 97
h 37 90 0
a 37 90 0
a 37 92 0
a 38 90 0
f 31 89
f 39 93
go
turn 7
h 37 90 0
a 37 90 0
a 37 91 0
a 38 91 0
f 31 89
f 39 93
go
turn 8
h 37 90 0
a 37 90 0
a 38 90 0
a 38 91 0
f 31 89
f 39 93
go
turn 9
h 37 90 0
a 37 90 0
a 37 91 0
a 38 91 0
f 31 89
f 39 93
go
turn 10
w 44 96
h 37 90 0
a 37 92 0
a 38 90 0
a 38 92 0
f 31 89
f 39 93
go
turn 11
w 30 95
h 37 90 0
a 37 90 0
a 37 93 0
a 39 92 0
f 31 89
go
turn 12
h 37 90 0
a 37 90 0
a 38 90 0
a 38 93 0
a 39 91 0
f 31 89
go
turn 13
h 37 90 0
a 37 90 0
a 37 91 0
a 38 91 0
a 39 93 0
f 31 89
go
turn 14
h 37 90 0
a 37 92 0
a 38 90 0
a 38 92 0
a 40 93 0
f 31 89
go
turn 15
h 37 90 0
a 37 93 0
a 38 89 0
a 39 92 0
a 41 93 0
f 31 89
go
turn 16
w 49 94
h 37 90 0
a 38 90 0
a 38 93 0
a 39 91 0
a 42 93 0
f 31 89
go
turn 17
h 37 90 0
a 38 92 0
a 39 90 0
a 40 91 0
a 41 93 0
go
turn 18
h 37 90 0
a 39 92 0
a 40 90 0
a 40 92 0
a 42 93 0
go
turn 19
w 49 90
h 37 90 0
a 39 91 0
a 40 91 0
a 41 92 0
a 42 92 0
go
turn 20
h 37 90 0
a 40 90 0
a 40 91 0
a 41 91 0
a 42 93 0
go
turn 21
h 37 90 0
a 39 91 0
a 40 91 0
a 41 90 0
a 41 93 0
go
turn 22
w 49 88
h 37 90 0
a 39 90 0
a 41 91 0
a 42 90 0
a 42 93 0
go
turn 23
w 49 86
w 49 96
w 50 88
w 50 89
w 50 90
w 50 91
w 50 92
w 50 93
w 50 94
w 50 95
h 37 90 0
a 38 90 0
a 41 90 0
a 43 90 0
a 43 93 0
f 31 89
go
turn 24
h 37 90 0
a 38 89 0
a 40 90 0
a 42 90 0
a 42 93 0
f 31 89
go
turn 25
h 37 90 0
a 38 90 0
a 40 91 0
a 41 90 0
a 43 93 0
f 31 89
go
turn 26
w 49 98
w 50 96
w 50 97
w 51 91
w 51 92
w 51 93
w 51 94
w 51 95
h 37 90 0
a 39 90 0
a 40 90 0
a 42 90 0
a 44 93 0
go
turn 27
w 50 98
w 51 96
h 37 90 0
a 39 91 0
a 40 91 0
a 42 89 0
a 44 94 0
go
turn 28
w 49 100
w 50 99
w 51 90
w 51 97
w 51 98
w 52 93
w 52 95
h 37 90 0
a 38 91 0
a 40 92 0
a 42 90 0
a 45 94 0
f 31 89
go
turn 29
h 37 90 0
a 38 92 0
a 41 92 0
a 43 90 0
a 44 94 0
go
turn 30
h 37 90 0
a 38 93 0
a 40 92 0
a 42 90 0
a 44 93 0
go
turn 31
h 37 90 0
a 37 93 0
a 41 92 0
a 43 90 0
a 44 94 0
f 31 89
go
turn 32
w 50 87
w 51 88
w 51 89
h 37 90 0
a 38 93 0
a 41 91 0
a 44 90 0
a 45 94 0
go
turn 33
w 52 91
h 37 90 0
a 38 92 0
a 41 92 0
a 43 90 0
a 45 93 0
go
turn 34
w 52 90
w 52 97
h 37 90 0
a 39 92 0
a 42 92 0
a 43 91 0
a 46 93 0
go
turn 35
w 51 87
w 51 99
h 37 90 0
a 40 92 0
a 41 92 0
a 42 91 0
a 47 93 0
go
turn 36
w 49 101
w 50 100
w 51 100
h 37 90 0
a 40 91 0
a 42 90 0
a 42 92 0
a 47 94 0
go
turn 37
w 50 101
h 37 90 0
a 39 91 0
a 42 91 0
a 43 92 0
a 48 94 0
go
turn 38
w 48 102
w 49 102
w 50 102
w 51 101
w 52 101
h 37 90 0
a 39 92 0
a 41 91 0
a 44 92 0
a 48 95 0
go
turn 39
h 37 90 0
a 39 93 0
a 42 91 0
a 44 91 0
a 48 94 0
go
turn 40
h 37 90 0
a 40 93 0
a 41 91 0
a 45 91 0
a 48 93 0
go
turn 41
w 51 86
w 52 86
h 37 90 0
a 41 93 0
a 42 91 0
a 45 92 0
a 48 92 0
go
turn 42
h 37 90 0
a 42 90 0
a 42 93 0
a 44 92 0
a 47 92 0
go
turn 43
h 37 90 0
a 41 90 0
a 43 93 0
a 45 92 0
a 48 92 0
go
turn 44
h 37 90 0
a 42 90 0
a 44 92 0
a 44 93 0
a 47 92 0
go
turn 45
h 37 90 0
a 41 90 0
a 44 91 0
a 44 94 0
a 48 92 0
go
turn 46
h 37 90 0
a 40 90 0
a 43 91 0
a 44 93 0
a 47 92 0
go
turn 47
h 37 90 0
a 40 89 0
a 43 92 0
a 44 92 0
a 47 91 0
go
turn 48
h 37 90 0
a 40 90 0
a 43 93 0
a 44 93 0
a 47 92 0
go
turn 49
h 37 90 0
a 40 89 0
a 43 92 0
a 44 92 0
a 46 92 0
go
turn 50
h 37 90 0
a 40 90 0
a 43 93 0
a 44 91 0
a 47 92 0
go
turn 51
h 37 90 0
a 41 90 0
a 44 90 0
a 44 93 0
a 48 92 0
go
turn 52
h 37 90 0
a 40 90 0
a 43 93 0
a 44 91 0
a 49 92 0
go
turn 53
h 37 90 0
a 40 89 0
a 43 91 0
a 43 92 0
a 49 93 0
go
turn 54
h 37 90 0
a 40 90 0
a 43 92 0
a 44 92 0
a 48 93 0
go
turn 55
h 37 90 0
a 39 90 0
a 42 92 0
a 44 91 0
a 49 93 0
go
turn 56
h 37 90 0
a 40 90 0
a 43 91 0
a 43 92 0
a 49 92 0
go
turn 57
h 37 90 0
a 41 90 0
a 42 91 0
a 44 92 0
a 48 92 0
go
turn 58
h 37 90 0
a 40 90 0
a 41 91 0
a 43 92 0
a 49 92 0
go
turn 59
h 37 90 0
a 40 91 0
a 42 91 0
a 43 93 0
a 49 93 0
go
turn 60
h 37 90 0
a 40 92 0
a 42 90 0
a 43 92 0
a 49 92 0
go
turn 61
h 37 90 0
a 41 92 0
a 42 91 0
a 43 91 0
a 48 92 0
go
turn 62
h 37 90 0
a 42 92 0
a 43 91 0
a 43 92 0
a 49 92 0
go
turn 63
h 37 90 0
a 41 92 0
a 43 90 0
a 44 92 0
a 49 93 0
go
turn 64
h 37 90 0
a 41 93 0
a 42 90 0
a 44 93 0
a 48 93 0
go
turn 65
h 37 90 0
a 41 92 0
a 42 89 0
a 45 93 0
a 48 94 0
go
turn 66
h 37 90 0
a 41 93 0
a 42 90 0
a 44 93 0
a 47 94 0
go
turn 67
h 37 90 0
a 40 93 0
a 43 90 0
a 45 93 0
a 47 95 0
go
turn 68
h 37 90 0
a 39 93 0
a 43 91 0
a 45 92 0
