102,82,82,76,66,55,42,24,11,0,0,0,0,0,16,35,55,80,111,123,154,181,211,213,218,232,244,257,262,267,273,314,2512,41,12,0,0,0,0,0,84,15,0,0,0,726,119,123,98,68,68,53,39,28,18,0,0,0,0,0,0,0,98,196,94,97
75,68,51,46,43,29,18,9,0,0,0,0,0,6,27,40,66,80,107,129,145,183,318,443,356,317,289,303,301,315,305,318,2697,0,0,0,0,0,0,0,112,0,0,0,0,821,148,134,99,96,80,71,61,49,37,17,12,10,8,0,0,0,0,129,61,63
38,43,32,31,22,13,0,0,0,0,0,0,0,12,38,49,74,101,108,132,149,0,0,224,301,341,326,309,293,337,346,332,2890,1460,719,0,0,0,0,0,126,0,0,0,0,926,157,142,120,110,95,98,74,67,52,34,39,36,27,15,4,0,0,72,38,31
13,17,9,11,9,0,0,0,0,0,0,0,0,14,58,106,105,115,136,150,247,0,0,117,215,284,350,364,328,351,366,369,1654,1556,1555,0,0,0,0,88,187,81,137,271,537,1033,170,160,128,129,116,104,83,94,83,66,69,59,34,28,19,16,0,15,20,13
11,14,15,15,12,14,6,0,0,0,0,0,0,0,0,58,140,129,148,159,345,169,89,118,181,237,287,347,324,355,362,361,1051,1292,2201,0,0,146,260,495,766,1233,1171,1087,925,614,178,156,126,138,130,125,119,117,89,82,81,60,39,44,45,30,19,9,10,16
473,450,419,270,204,145,82,46,8,0,0,0,0,0,0,0,85,165,262,216,300,253,172,172,193,236,270,338,350,366,382,359,725,1056,2759,1406,752,734,428,596,672,594,0,0,3,0,180,167,159,178,175,180,192,218,287,432,741,1397,1350,1308,1260,1206,1174,1137,666,550
0,0,106,59,47,42,28,16,3,0,0,0,0,0,0,0,0,0,149,195,257,285,214,211,222,246,262,321,346,374,414,408,572,818,1777,1586,1162,1627,535,575,507,323,0,0,0,6,313,197,198,222,225,236,274,343,439,576,736,710,0,0,0,0,0,431,159,76
0,0,57,46,32,22,12,6,0,0,0,0,0,0,0,0,0,0,88,166,228,296,269,256,253,273,249,306,315,366,382,428,509,678,1221,1442,1303,2571,482,462,346,169,0,0,0,0,444,247,253,275,291,318,385,456,511,569,568,372,0,0,0,0,0,331,196,134
112,67,42,36,14,3,0,19,5,0,0,0,0,0,0,0,0,0,49,115,189,247,269,278,282,325,305,336,341,362,361,412,488,575,926,1206,1251,3448,427,387,247,93,0,0,0,0,632,306,323,342,393,425,506,550,562,581,546,224,8,0,0,0,0,219,229,260
45,35,19,13,0,0,3,81,23,0,0,0,0,0,0,0,0,8,39,75,152,215,259,271,286,330,337,346,389,400,398,405,495,544,736,1009,1128,4205,376,290,163,51,0,0,0,0,851,378,388,395,442,460,520,489,482,428,270,0,0,0,0,0,0,86,161,281
