0,0,0,0,0,0,0,0,49,80,109,144,212,238,237,224,209,223,242,479,611,592,512,408,345,321,300,308,663,856,863,792,609,464,351,496,23,0,0,0,2537,206,147,68,0,0,0,0,288,124,90,50,0,0,0,0,0,0,0,0,12,69,103,163,1578,829,575,305,0,0,0,0
30,0,0,0,0,0,0,0,98,258,468,7597,7744,7908,8099,8270,8409,8601,8776,9069,9457,9811,10182,10420,10639,10867,11081,11331,11718,12226,12676,13116,13459,6989,3703,2469,31,0,0,0,2691,186,129,44,0,0,0,0,431,135,98,35,0,0,0,0,0,0,0,0,0,49,93,139,1027,446,482,605,453,310,211,98
22,0,0,0,0,0,0,14,87,129,187,6987,0,0,0,0,0,0,0,0,18,25,30,0,0,0,11,22,0,0,0,0,6761,6908,5277,5168,0,0,0,17,2864,173,115,33,0,0,0,0,549,141,98,31,0,0,0,0,0,0,0,0,0,37,89,113,668,310,280,227,188,111,95,65
16,0,0,0,0,0,0,0,56,124,184,6844,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3418,5274,5296,7812,0,0,0,0,2999,178,116,49,0,0,0,0,689,141,93,30,0,0,0,0,0,0,0,0,0,45,67,93,409,264,263,240,184,65,53,48
0,0,0,0,0,0,0,0,51,130,182,6549,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681,3514,4457,10147,13,0,0,0,3155,178,112,56,13,0,0,9,835,139,90,31,0,0,0,0,0,0,0,0,0,58,42,70,175,218,210,254,226,26,17,13
0,0,14,22,0,0,0,11,81,145,216,6261,512,282,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,2267,3340,11869,31,0,0,0,3289,173,124,94,21,0,0,0,949,146,88,32,0,0,29,15,0,0,0,0,0,0,0,0,0,68,111,213,378,0,0,0
0,24,47,92,0,0,0,0,58,144,269,5801,364,515,404,290,157,73,20,29,19,50,43,31,59,44,39,65,0,0,0,32,516,1759,3570,0,26087,22698,18191,12908,7486,548,319,118,0,0,0,0,1072,153,106,67,38,47,100,50,42,36,44,58,0,0,0,0,0,0,0,0,349,126,65,14
19,48,76,179,0,0,0,0,60,187,332,5415,172,147,139,96,50,17,0,31,60,89,101,97,112,103,89,174,0,0,0,0,36,70,99,6799,6648,8783,10586,10607,7144,210,157,89,0,0,0,0,1197,158,129,110,96,132,135,93,90,79,68,43,0,0,0,0,0,0,0,0,165,44,15,0
47,76,101,285,0,0,0,0,92,241,396,5108,134,117,114,97,25,0,11,51,79,111,139,148,155,170,153,334,10,0,0,0,15,40,69,3371,4559,7001,10536,14036,14100,214,162,82,0,0,0,0,1343,210,197,194,184,204,170,159,139,108,105,70,0,0,0,0,0,0,0,0,95,16,0,14
84,104,135,447,13,0,0,16,151,313,501,4783,54,70,61,103,15,84,222,1219,1303,1396,796,502,350,292,260,514,0,0,0,0,0,14,38,1008,1829,3555,7002,13869,27804,222,182,127,28,0,0,0,1840,902,1427,2568,2425,2295,2152,1574,1024,673,423,173,0,0,0,0,0,0,0,0,43,0,15,67
137,143,152,565,0,0,0,0,186,435,678,4457,0,0,0,64,20,77,142,902,0,707,1153,1452,1671,1033,693,902,0,0,0,0,0,0,0,37,19,10,0,0,27641,231,157,101,27,0,0,0,2472,1138,1326,1277,0,0,428,832,422,305,261,215,77,0,0,0,0,0,0,0,0,0,0,48
90,148,179,708,0,0,0,0,296,640,868,4060,0,0,0,22,36,88,147,795,0,0,0,0,818,932,833,1416,0,0,0,0,0,0,0,0,0,0,0,0,27474,311,173,97,30,0,0,13,3133,1100,1040,668,0,0,0,596,464,283,244,199,112,0,0,0,0,0,0,0,0,0,0,0
64,134,187,886,17,0,0,0,573,916,982,3573,0,0,0,0,28,91,142,683,0,0,0,0,422,714,752,1891,16,0,0,0,0,0,0,0,0,0,0,3528,27258,379,206,88,27,0,0,0,3662,948,758,383,17,0,0,322,601,267,242,246,204,0,0,0,0,0,0,0,0,0,0,0
49,119,181,1018,0,0,12,0,1124,1199,1040,3058,0,0,0,0,33,104,150,569,0,0,0,0,241,506,649,2283,0,0,0,0,0,16,0,0,13,0,4612,7063,23470,499,280,108,27,0,0,0,4107,755,488,203,0,0,0,0,427,197,181,230,370,341,154,93,40,0,0,0,0,0,0,0
94,248,444,1593,1698,1830,1981,2108,2227,1251,794,2485,0,0,0,0,43,107,154,419,0,0,0,30,238,598,1044,3779,4574,5521,6357,7074,7639,8108,8452,8695,8910,9078,9228,4769,19613,642,358,130,27,0,0,0,4446,589,332,151,0,0,0,0,293,120,70,32,0,129,41,14,0,0,0,0,0,0,0,0
64,68,95,107,126,136,138,155,169,197,229,2055,0,0,0,0,50,99,130,294,0,0,0,0,48,135,178,739,1508,1788,1640,1377,1045,770,555,372,294,252,221,202,16881,910,501,164,17,0,0,0,4752,449,226,87,0,0,0,0,204,88,51,24,0,62,11,0,21,0,0,0,0,0,0,8
18,35,51,66,81,85,91,108,134,161,208,1872,0,0,0,15,74,90,102,194,0,0,0,0,45,129,164,1227,2258,1991,1433,974,613,400,266,183,144,128,126,118,16266,1269,766,284,0,0,0,0,4954,338,178,88,0,0,0,0,97,63,34,11,0,15,0,14,73,46,0,0,0,0,7,0
0,7,21,35,35,35,37,63,92,136,184,1728,0,0,0,0,26,46,67,104,0,0,0,0,64,127,173,2137,3238,1631,822,450,226,130,74,47,66,60,43,54,15523,1773,1187,466,0,0,0,0,5137,267,139,53,0,0,0,0,28,29,18,0,0,0,17,45,92,142,81,55,36,68,58,13
5,0,0,0,0,0,0,32,60,124,171,1593,0,0,0,0,0,17,25,25,0,0,0,19,99,130,200,4160,2156,0,0,0,0,0,0,0,0,0,0,13,14534,2278,1837,912,0,0,0,0,5305,249,134,42,0,0,0,0,0,0,0,0,0,28,48,69,107,159,144,132,119,223,79,34
20,0,0,0,0,0,0,0,62,132,163,1464,0,0,0,0,0,0,0,0,0,0,0,17,67,122,197,4007,0,0,0,0,0,0,0,0,0,0,0,0,13335,2744,2656,1775,0,0,0,0,5465,214,130,61,0,0,0,0,0,0,0,0,14,55,88,100,137,183,198,178,190,430,101,61
19,0,0,0,0,0,0,0,50,106,143,1342,0,0,0,0,0,0,0,0,0,0,0,0,48,124,214,3872,0,0,0,0,0,0,0,0,0,0,0,0,11893,2895,3599,3499,0,0,0,0,5603,193,120,45,0,0,0,0,0,0,0,0,18,89,180,288,437,569,741,907,1044,1598,116,67
23,0,0,0,0,0,0,13,78,116,135,1196,0,0,0,0,25,15,0,9,0,0,0,0,50,131,233,3712,0,0,0,0,0,14,20,0,0,0,0,0,10361,1977,3663,7012,6862,6704,6532,6363,6214,456,246,91,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,0,1691,119,71
24,0,0,0,0,0,0,0,43,90,113,1082,538,433,330,214,146,44,5,47,0,0,0,0,73,175,306,3559,12,0,0,0,44,59,89,59,0,0,0,21,9328,248,226,215,221,233,237,219,178,127,79,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812,141,86
40,0,0,0,0,0,0,0,24,57,75,408,127,109,88,51,15,0,16,116,0,0,0,0,99,220,391,3314,0,0,0,0,37,75,117,189,0,0,0,22,9103,192,181,169,173,188,190,191,163,132,78,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1973,152,100
