104,90,87,97,205,386,598,788,960,1039,1019,2273,121,115,98,79,64,60,55,42,42,40,46,24,12,9,0,0,63,33,21,3,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,107,104,98,77,93,78,73,38,0,0,0,0,22,4,0,0,0,0,0,0,0,0,22,30,34,39,51,42,66,72,68,65,738,0,0,0,0,0,513,984,1001,1027,926,760,568,414,319,252,0,0,0,0,0,2,9,63,0,6,22,47,57,79,89,124,117,90,70,62,63,79,90,84
97,106,99,102,176,285,481,648,824,932,994,2836,121,109,91,90,73,68,57,48,50,50,44,25,21,20,7,0,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,62,54,46,20,2,0,0,0,0,0,18,60,895,98,82,86,59,71,69,80,86,52,26,0,0,5,0,0,0,0,0,0,0,0,7,32,18,25,27,40,38,54,67,59,58,694,0,0,0,0,0,0,483,982,1486,1955,2335,1452,915,660,584,0,0,0,8,14,16,22,86,51,38,38,45,52,70,88,125,132,117,90,90,86,78,93,88
99,121,117,103,151,212,351,516,718,855,930,3378,123,111,114,122,117,149,220,364,324,287,224,176,141,115,86,67,50,42,30,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,10,12,0,7,3,0,0,0,22,54,761,107,81,81,58,51,44,39,37,34,37,19,7,0,0,0,0,0,0,0,0,0,8,9,0,8,16,26,28,38,86,48,45,652,107,56,0,0,0,0,0,0,0,0,1173,1353,1091,898,1056,523,8,0,8,27,46,41,69,63,62,65,64,62,73,87,118,142,149,126,108,117,98,108,104
112,132,146,129,148,197,278,381,568,743,840,3904,138,151,158,172,184,245,309,184,0,14,19,6,5,5,5,0,0,3,4,7,15,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,29,19,5,0,12,46,64,663,87,74,74,73,53,36,29,21,19,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,23,29,36,54,0,23,501,82,96,59,30,12,0,0,0,0,8,595,1313,1866,1390,1281,1159,0,0,0,0,28,39,62,66,78,76,74,78,88,90,99,120,140,150,134,132,114,112,115
1549,1620,1708,1781,939,585,427,391,474,610,698,4379,157,176,174,195,206,215,153,0,0,0,4,0,15,6,4,0,0,16,20,22,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,51,102,94,0,0,0,0,0,49,13,0,0,12,28,50,578,80,70,45,49,49,37,27,16,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,17,20,20,22,0,44,427,52,47,34,15,0,0,0,0,0,0,0,0,926,1141,1253,1758,865,446,0,0,28,62,109,157,220,292,363,426,502,578,658,747,861,959,1073,1176,1281,1417,1484
0,0,0,919,953,780,634,541,515,591,606,4785,180,186,177,194,178,147,73,0,0,0,0,0,1060,2084,4113,4096,4088,3778,3495,2944,1951,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,30,60,56,65,67,0,0,0,16,19,30,68,9,0,0,17,38,61,501,64,59,40,29,33,24,15,9,0,0,18,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,2,4,14,37,82,364,44,41,30,13,0,0,0,0,0,0,0,0,467,765,1036,1408,1847,1403,8,0,1,7,0,7,10,20,32,29,24,24,29,39,43,30,40,33,36,50,0
0,0,2,457,958,1359,1668,1126,844,730,674,5255,192,193,195,189,150,99,41,0,0,0,0,1066,2080,2050,2045,0,294,531,1042,2000,3925,3901,3893,3885,0,0,0,29,13,4,0,0,0,0,0,0,0,0,0,0,0,78,75,68,70,50,0,0,0,51,44,53,59,11,0,0,16,51,68,429,57,54,48,33,26,15,7,0,0,10,33,0,0,5,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,14,43,58,284,39,32,25,19,3,0,0,0,0,0,0,0,267,682,864,0,914,2360,19,11,10,39,0,0,8,18,23,15,14,16,21,22,17,15,17,9,17,21,0
0,0,0,3,0,0,1189,1984,2585,3087,3542,0,5872,5694,5475,5237,4896,4451,3725,2377,0,485,986,1937,1802,1562,1058,0,3,2,0,0,8,0,0,3877,0,0,0,49,20,7,0,0,0,0,0,0,0,0,0,0,69,120,81,73,55,23,0,0,60,93,58,54,47,17,3,0,24,52,54,353,42,38,27,18,16,8,0,0,8,17,56,37,24,24,25,49,30,0,0,0,0,0,0,0,0,0,0,0,0,21,46,62,221,51,31,14,8,0,0,0,0,0,0,0,0,0,363,1072,0,0,2368,0,0,0,56,5,0,0,4,4,6,9,6,5,1,4,5,3,3,6,9,0
0,0,152,302,447,567,679,448,312,243,237,772,123,195,267,450,715,1286,2486,4790,4721,4652,4083,3482,2440,1420,550,0,15,10,4,0,0,0,0,3869,0,0,45,74,22,7,0,0,0,0,0,0,0,0,3,81,137,110,97,80,54,34,30,70,128,115,133,93,56,11,0,0,25,48,54,297,38,26,22,16,10,0,0,6,16,21,42,51,47,44,45,55,72,1,0,0,0,0,0,0,0,0,0,0,21,47,56,61,139,55,46,7,0,0,0,0,0,0,0,0,0,0,171,1168,0,0,2376,0,0,0,70,11,10,0,0,0,4,12,21,17,14,11,13,16,14,21,22,0
0,0,277,277,277,223,208,204,173,168,212,585,55,75,81,137,175,196,119,115,114,124,133,140,138,127,0,0,51,20,4,0,0,0,0,3861,3853,3845,3837,3776,3731,3710,0,0,0,0,0,0,0,5,20,174,141,135,142,147,155,232,402,375,319,245,67,0,0,0,0,0,48,59,58,230,39,25,14,6,0,0,13,14,28,36,41,52,56,62,57,65,122,16,7,0,0,0,0,0,0,0,0,5,28,28,33,59,67,41,70,0,0,0,0,0,0,0,0,0,0,0,95,1228,0,0,2384,2392,1194,0,97,26,15,3,0,0,6,15,25,28,32,30,28,31,21,28,48,0
