0,0,0,0,0,0,0,0,0,11,24,249,18,0,0,0,0,15,34,54,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,58,35,16,0,0,0,0,15,39,43,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,43,27,19,0,0,0,0,15,247,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,95,74,35,0,0,0,0,0,0,31,73,91,453,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,7,10,17,24,28,296,25,4,0,0,0,11,29,49,182,0,0,0,0,7,11,10,4,0,0,0,6,0,0,0,0,0,5,0,0,625,44,33,21,0,0,0,0,21,43,47,628,0,0,7,0,0,0,0,0,6,0,0,0,1,4,5,6,0,0,0,0,178,41,22,10,0,0,0,3,24,287,30,22,10,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,385,103,93,56,0,0,0,0,0,0,55,89,101,393,0,0,0,0,0,0,0,0,0,0
0,0,11,22,17,16,22,20,27,38,47,344,16,0,0,0,0,10,24,43,143,5,0,0,0,50,30,19,10,5,0,17,52,77,103,146,185,226,290,339,381,594,54,37,17,0,0,0,0,19,42,39,585,371,329,277,221,178,138,99,73,51,17,0,8,16,16,20,40,0,0,0,8,149,42,23,8,0,0,0,0,19,339,45,38,20,21,16,13,11,22,8,0,0,0,0,0,0,0,0,0,0,0,0,315,91,95,97,68,29,11,13,34,62,101,93,94,330,0,0,0,0,0,0,0,0,0,0
0,3,18,27,31,30,40,43,43,50,59,403,18,0,0,0,0,11,23,31,97,4,0,0,0,72,27,25,16,14,0,0,12,20,21,35,45,61,70,66,57,155,42,39,33,13,0,0,8,27,34,29,171,63,69,61,54,43,32,22,15,7,0,0,12,29,35,34,75,0,0,0,6,98,39,24,7,0,0,0,0,17,391,58,45,32,45,30,27,27,33,16,4,0,0,0,0,0,0,0,0,0,0,0,264,73,72,42,38,25,14,11,18,36,54,62,72,273,0,0,0,0,0,0,0,0,0,0
0,5,24,34,36,40,48,52,52,57,69,472,25,7,0,0,0,8,22,25,65,6,0,0,0,120,44,37,27,26,8,0,0,6,10,28,49,59,47,48,43,89,25,20,8,5,0,0,4,14,20,24,101,50,56,57,58,48,31,20,9,0,0,10,17,32,44,44,126,0,0,0,4,57,28,24,8,0,0,0,5,18,450,65,50,49,61,39,50,45,40,19,7,0,0,0,0,0,0,0,0,0,0,0,207,66,61,49,27,14,11,9,18,31,39,41,52,217,0,0,0,0,0,0,0,0,0,0
8,42,122,236,699,933,1189,1226,1265,1304,667,837,31,3,0,0,0,6,19,12,26,0,0,0,0,162,56,54,49,58,30,15,3,0,9,22,63,38,26,31,20,33,10,15,13,0,0,0,0,14,14,16,40,24,35,36,46,63,15,11,0,4,16,36,55,50,56,54,163,0,0,0,0,26,14,19,6,0,0,0,12,33,826,694,1324,1287,1248,1198,953,711,281,143,53,7,0,0,0,0,0,0,0,0,0,5,160,50,41,38,25,13,9,8,13,19,33,48,58,186,5,0,0,0,0,0,0,0,0,0
6,35,116,180,822,400,206,0,0,679,670,1204,19,0,0,0,0,0,3,0,0,0,0,0,0,209,69,68,52,38,0,0,0,3,0,8,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,43,10,0,3,0,0,0,34,56,60,68,212,0,0,0,0,0,0,3,0,0,0,0,0,24,1207,697,678,0,0,207,398,787,180,124,53,4,0,0,0,0,0,0,0,0,0,0,115,38,30,21,12,9,9,9,10,14,29,37,43,127,0,0,0,0,0,0,0,0,0,0
0,74,168,215,703,0,0,0,0,364,514,1496,21,0,0,0,0,0,0,0,0,0,0,0,0,257,83,78,56,24,0,0,3,24,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,24,2,0,0,16,61,78,84,268,0,0,0,0,0,0,0,0,0,0,0,0,16,1496,533,349,0,0,0,0,690,223,169,91,0,0,0,0,0,0,0,0,0,0,0,83,29,26,13,0,0,0,0,0,0,14,26,36,84,0,0,0,0,0,0,0,0,0,0
0,139,235,279,580,0,0,0,4,206,374,1719,22,3,0,0,0,0,0,0,0,0,0,0,0,318,82,61,27,0,0,0,4,55,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,3,0,0,0,28,57,79,324,0,0,0,0,0,0,0,0,0,0,0,5,29,1698,376,193,4,0,0,0,564,265,219,150,0,0,0,0,0,0,0,0,0,0,0,55,33,18,13,0,0,0,0,0,0,12,22,28,53,0,0,0,0,0,0,0,0,0,0
0,282,319,283,405,0,0,0,0,101,255,1875,12,0,0,0,5,0,0,0,0,0,0,0,0,377,84,59,19,0,0,0,0,77,21,10,6,5,0,0,7,9,7,5,0,0,0,0,0,0,2,7,9,6,0,0,5,8,11,22,78,0,0,0,0,20,47,76,381,0,0,0,0,0,0,0,0,5,0,0,0,16,1871,273,98,0,0,0,0,407,295,310,281,0,0,0,0,0,0,5,0,0,0,0,19,22,14,13,0,0,0,0,0,0,12,19,19,27,0,0,0,0,5,0,0,0,0,0
