36,5,0,0,7,39,86,119,4421,0,0,0,0,32,29,16,13,36,24,37,26,38,28,32,44,32,36,25,18,75,37,30,12,0,0,0,0,65,74,157,250,512,999,1938,3924,2628,106,66,21,0,0,0,6,28,61,99,2542,456,379,301,235,172,95,34,13,53,132,189,256,1997,99,70,34,0,0,0,0,214,81,48,36,0,0,0,0,18,74,142,318,562,796,1002,1196,1702,82,55
52,9,0,0,7,50,104,133,4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,9,9,0,0,0,0,0,0,0,6,0,0,0,0,2600,5164,102,71,34,0,0,0,12,51,74,108,2609,0,0,0,0,6,0,0,0,9,13,0,0,2080,109,71,33,0,0,0,0,299,89,52,27,0,0,0,0,0,0,0,0,0,10,10,0,1772,84,67
34,0,0,0,0,50,102,140,4238,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5090,105,74,48,9,0,0,0,29,65,116,2698,0,0,0,0,0,0,0,0,0,0,0,0,2153,103,73,50,10,0,0,0,363,93,50,19,0,0,0,0,0,0,0,0,0,0,0,0,1859,89,76
22,0,0,0,0,77,126,163,4118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,5011,91,65,29,0,0,0,0,27,62,87,2765,1404,0,0,0,0,0,0,0,0,0,0,1175,2225,105,68,33,0,0,0,0,431,84,41,15,0,0,0,0,0,0,0,0,0,0,0,5,1947,86,66
21,13,10,0,0,123,143,177,3999,0,11,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1610,2461,3719,106,66,33,0,0,0,0,27,67,94,1427,2145,0,0,0,21,6,0,0,10,0,0,1757,1123,110,69,36,10,0,0,262,500,84,56,31,0,0,0,0,0,0,0,0,0,0,0,0,2018,80,53
12,33,86,113,158,213,158,167,3881,1787,1624,1383,1137,884,689,580,490,396,318,262,183,132,79,34,10,30,75,144,214,284,357,445,570,778,1044,1387,1723,1987,2235,2439,2630,2810,2970,3115,1632,2368,104,69,38,0,0,0,8,41,72,107,773,2557,1287,661,327,254,74,102,185,330,548,1076,2110,648,121,82,76,93,125,212,446,311,83,57,25,0,0,0,0,26,39,64,80,138,263,524,1050,2072,82,53
9,0,10,25,53,69,85,113,1971,288,372,428,442,353,170,130,103,90,74,77,64,58,43,24,6,21,49,73,67,83,99,119,169,331,473,598,586,488,406,326,309,282,265,230,208,1486,100,75,53,9,0,0,9,51,71,104,456,1539,1437,1103,747,751,176,272,417,602,871,1190,1254,398,132,120,142,168,212,302,362,203,85,60,36,0,0,0,0,103,123,168,245,371,572,819,1102,1091,87,41
27,7,0,9,29,43,73,110,1743,170,265,378,488,498,173,133,84,65,55,45,40,42,38,23,10,23,40,43,38,62,91,126,214,455,607,681,547,395,297,231,236,228,219,172,146,1299,82,69,32,0,0,0,0,37,82,105,282,905,1166,1169,958,1428,350,486,624,810,968,998,799,305,170,179,208,255,282,312,264,162,95,65,29,0,0,0,0,240,231,297,413,536,721,865,858,596,81,49
88,48,8,0,6,29,73,91,1577,63,107,217,419,810,194,147,80,27,37,21,15,13,13,10,16,12,15,14,20,55,98,146,247,733,753,740,396,228,163,138,213,193,200,109,81,1171,77,63,31,0,0,0,0,44,136,210,386,876,1480,2098,2597,3959,2488,4637,8750,8427,7993,7493,6659,5888,5466,5206,4983,4795,4621,4454,4268,4115,1115,557,160,0,0,0,0,648,755,1338,2394,2156,1867,1444,977,548,202,138
0,0,0,0,0,25,74,83,1467,15,0,0,0,675,225,188,112,0,0,0,0,0,0,0,0,0,0,0,0,57,118,152,294,1252,665,346,0,29,60,99,258,147,82,0,0,1057,82,57,36,0,0,0,0,0,10,0,0,9,12,0,1316,6491,3587,4556,4380,0,0,310,637,486,264,200,119,9,9,0,0,2869,946,654,264,0,0,0,0,1207,1080,1372,1232,0,0,0,0,0,0,0
0,0,0,0,8,46,77,76,1378,9,0,0,9,531,237,212,187,62,0,0,0,0,0,0,0,0,0,0,0,66,129,170,420,1084,0,0,9,47,69,102,178,0,0,0,0,982,95,59,26,0,0,0,0,0,0,0,0,0,0,0,651,8932,3517,3418,2207,0,0,0,373,716,290,249,167,0,0,0,0,2377,1191,1014,526,7,0,0,0,1747,1043,991,617,0,0,0,0,0,0,0
0,0,0,0,0,22,47,59,1302,0,0,0,0,352,234,238,206,110,0,0,0,0,0,0,0,0,0,0,0,102,170,210,613,841,0,0,0,23,53,84,101,0,0,0,198,905,95,61,35,0,0,0,0,0,0,0,0,0,0,0,0,10414,2912,2234,1084,10,0,0,0,547,293,319,335,161,0,0,0,1768,1377,1397,953,0,0,0,0,2199,855,670,329,0,0,0,0,0,0,0
0,0,0,0,0,14,46,65,1241,0,0,0,0,207,198,223,250,206,0,0,0,0,0,0,0,0,9,15,0,163,211,205,990,514,0,0,0,24,59,83,102,122,199,283,371,620,91,57,16,0,0,0,0,0,0,0,0,10,0,0,0,11556,2199,1386,565,18,0,0,0,373,248,281,294,276,0,0,0,1041,1439,1849,1864,0,0,0,1331,2563,684,475,204,6,0,0,0,0,0,10
6,0,0,0,0,15,43,60,1180,712,547,394,218,169,149,183,245,382,318,253,195,144,80,43,5,36,93,178,238,298,215,182,869,0,0,0,0,29,50,73,96,104,112,115,122,363,83,61,21,0,0,0,0,22,70,151,0,28095,26004,23231,19888,16548,2605,1202,391,20,0,0,8,222,155,223,321,529,468,403,334,531,961,1807,3612,3556,3492,3429,3378,1983,701,320,135,32,30,29,39,21,29,38
10,0,0,0,0,12,38,51,394,260,265,291,251,145,108,97,88,82,86,78,68,69,38,28,5,26,47,57,75,84,101,116,751,0,0,0,0,38,48,59,77,80,93,85,99,236,72,58,26,0,0,0,0,24,52,67,4097,4077,5463,6671,6646,4682,549,271,80,0,0,0,0,97,64,80,85,80,84,83,85,87,80,68,65,69,58,51,38,17,6,0,122,56,58,64,59,42,53,38
19,0,0,0,0,10,28,29,215,221,261,312,333,119,88,75,64,52,50,51,49,50,38,22,6,12,32,49,63,63,79,100,672,0,0,0,0,27,39,47,69,59,51,47,66,126,43,46,30,0,0,0,0,34,39,37,2003,2711,4248,6508,8660,8868,813,415,145,0,0,0,0,38,22,30,42,49,54,55,59,67,59,47,50,40,34,33,25,7,0,5,198,83,91,87,82,68,71,44
42,10,0,0,0,0,6,8,56,88,156,265,517,140,77,45,32,20,16,17,20,24,30,6,0,4,19,39,28,39,65,90,603,0,0,0,0,32,21,19,36,22,20,28,48,53,24,34,7,0,0,0,0,16,14,17,587,1082,2113,4232,8407,16822,1235,680,217,0,0,0,0,15,12,9,15,16,22,27,29,44,29,12,16,16,14,13,7,0,14,23,818,567,501,394,303,208,128,60
36,0,0,0,0,0,0,0,0,0,0,0,415,179,96,55,16,0,0,0,0,0,0,0,0,0,0,8,0,19,52,86,531,10,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,16159,1726,1120,431,0,0,0,9,64,31,25,16,0,0,0,0,6,0,0,0,0,0,0,0,15,32,44,863,0,18,23,29,39,5,0
82,0,0,0,0,0,0,0,0,0,0,0,294,223,90,69,33,0,0,0,0,0,0,0,0,0,0,0,0,26,52,73,433,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15274,2258,1755,835,0,0,0,0,112,51,48,30,0,0,0,0,0,0,0,0,0,0,0,0,16,42,53,930,0,0,0,0,10,0,10
118,0,0,0,0,0,0,0,0,0,0,0,155,303,70,47,20,0,0,0,0,0,0,0,0,0,0,0,0,34,56,79,363,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14150,2724,2580,1593,0,0,0,0,177,66,47,21,0,0,0,0,0,0,0,0,0,0,0,0,12,50,66,988,0,0,0,0,0,10,27
