143,150,140,83,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,177,282,305,256,2550,1275,0,0,0,0,0,0,0,0,0,0,0,11,40,57,122,14,6,138,100,101,51,27,6,10,0,0,0,0,9,45,72,38,227,0,0,0,87,20,0,0,0,0,0,0,0,6,23,47,1014,0,0,17,49,63,1602,0,16,6,0,0,0,0,0,0,0,0,0,0,0,24,35,68,82,0,0,14,22,16,0,0,340,527,569,537,447,396,355,4937,54,49,21,0,80,177
411,324,160,60,0,0,0,0,0,0,0,5,22,14,8,8,8,7,0,360,375,300,220,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,30,79,191,14,4,280,116,45,0,0,0,20,30,0,0,0,12,47,31,0,184,0,0,0,60,34,10,0,0,0,4,7,8,25,49,64,1056,0,0,14,60,94,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,44,69,30,0,0,0,3,0,0,0,173,357,461,499,471,453,402,5215,77,94,126,194,364,528
0,67,27,10,0,0,0,0,6,46,73,117,174,261,351,435,662,689,699,709,364,203,123,2269,840,0,6,0,0,0,0,0,0,0,0,0,0,0,44,238,15,5,295,0,0,0,0,0,0,40,0,0,0,14,24,0,0,174,0,0,0,26,8,0,0,0,6,11,16,0,0,28,56,1091,0,0,0,0,59,1742,0,0,0,0,0,0,0,0,0,0,0,11,25,40,55,31,25,0,0,0,0,0,0,0,0,318,710,1117,1518,1893,2266,2582,0,976,874,774,655,520,307
0,34,19,10,0,0,0,0,5,19,21,38,60,95,110,112,196,0,0,0,0,9,26,1348,1667,1200,371,270,193,101,0,0,0,0,0,0,0,0,39,316,17,5,309,165,89,0,0,10,48,55,0,0,0,0,11,18,36,164,0,0,0,12,0,0,0,0,12,36,72,0,0,24,53,1123,546,0,0,0,0,1766,4,0,0,0,0,0,0,0,0,12,6,0,1,5,5,6,4,0,0,0,0,0,0,0,249,457,374,304,263,246,224,222,4347,83,69,52,49,43,76
0,9,6,0,0,0,0,0,0,5,16,39,64,97,117,113,128,0,0,0,0,2,26,482,911,1720,125,123,145,172,116,41,0,0,0,0,0,0,0,340,14,7,160,168,201,0,0,7,101,37,5,0,0,0,0,5,9,108,36,20,10,0,0,0,0,0,0,0,82,48,37,46,71,629,874,452,230,1915,1786,1776,0,0,0,0,0,0,0,0,21,31,7,2,5,12,12,22,30,0,0,0,0,7,0,290,481,371,279,230,219,203,197,218,4179,64,67,42,24,0,66
0,4,0,0,0,0,0,0,0,0,11,37,63,114,103,89,47,0,0,0,0,0,8,0,0,1650,103,103,112,96,113,76,0,6,9,6,0,0,0,363,17,5,91,126,287,2,0,0,125,24,8,0,0,0,0,0,4,41,3,0,0,0,0,0,0,0,0,0,46,50,54,63,71,359,605,530,368,2120,0,0,0,0,0,0,0,0,0,29,52,36,16,6,12,27,28,37,81,4,0,118,256,389,478,561,344,237,183,171,168,158,174,194,4020,56,56,46,41,0,56
42,23,0,0,0,0,0,0,0,0,21,46,66,130,60,30,0,0,0,0,0,0,0,0,194,1582,91,87,92,80,109,149,118,96,58,26,4,10,0,383,18,5,65,97,381,36,55,109,190,45,15,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,16,40,52,57,80,86,239,434,520,443,2350,0,0,0,0,0,0,0,0,41,74,59,39,15,4,15,28,35,47,120,0,0,223,242,200,166,134,107,112,117,123,119,137,152,188,3872,38,37,35,66,56,102
16,7,0,0,0,0,0,0,0,0,28,33,66,85,0,0,0,0,0,0,6,0,0,0,405,1307,76,58,63,45,38,33,15,10,5,0,0,25,18,424,22,5,49,76,498,83,115,165,91,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,35,72,114,152,130,119,200,323,434,476,2601,0,0,0,0,0,0,0,0,91,77,61,40,18,3,25,62,103,163,358,368,390,427,232,142,103,80,93,107,108,108,112,133,156,212,3743,28,12,0,0,0,40
3,0,0,0,0,0,0,0,0,18,40,22,75,36,0,0,0,14,48,102,160,184,202,499,771,1029,79,55,60,43,27,22,10,0,0,0,11,26,37,474,16,5,35,54,765,214,170,96,0,0,0,4,4,24,16,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,79,163,151,195,269,347,431,2826,0,5,4,0,0,0,0,0,173,134,152,105,72,0,0,7,14,33,45,0,7,44,27,30,33,47,68,73,98,105,109,129,185,264,3603,22,12,0,0,0,13
0,0,0,0,0,0,0,0,0,0,2,0,49,0,0,0,0,14,35,70,40,18,14,557,527,599,54,41,41,36,22,10,0,0,0,4,20,31,46,524,16,8,38,63,811,0,0,0,0,0,0,17,2,23,25,38,43,29,0,0,13,0,0,0,0,0,0,0,0,0,0,83,124,177,225,273,372,3024,1571,28,21,10,7,0,0,116,242,113,75,0,51,0,0,0,1,26,14,0,4,29,0,17,41,54,64,61,83,74,94,124,215,340,3431,18,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,39,29,6,0,0,20,39,39,0,0,0,1033,502,289,39,27,27,30,18,4,0,0,0,6,18,28,43,583,23,5,19,51,854,427,0,0,0,0,21,31,4,31,30,44,48,61,34,71,40,7,0,0,0,0,0,0,0,0,0,39,111,154,219,241,315,1636,2555,263,501,473,455,432,419,388,247,93,44,0,41,9,0,0,0,9,0,0,0,12,0,27,39,37,46,62,70,62,84,133,278,474,3214,13,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,21,41,31,24,40,80,115,1023,0,0,12,9,5,8,6,0,0,0,0,11,37,65,58,642,17,8,25,42,464,678,0,0,0,0,46,24,2,27,45,58,77,83,71,118,0,0,0,0,0,0,0,0,0,2,0,0,62,117,187,228,287,953,3249,402,264,0,0,0,11,6,4,0,28,0,12,0,9,19,15,0,0,0,0,2,24,34,20,20,37,50,47,41,92,199,409,632,2937,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,4,23,40,52,888,0,0,0,0,0,0,0,0,0,0,0,0,0,39,56,699,20,6,30,50,262,828,0,0,0,0,74,22,1,18,44,55,71,88,94,176,0,0,0,0,0,0,10,11,16,30,19,18,42,94,147,210,271,653,3807,190,0,0,0,0,0,0,0,3,41,0,0,0,0,20,59,4,0,0,0,0,8,0,0,13,20,38,23,12,124,298,568,768,2612,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,18,40,68,841,234,173,113,56,21,0,0,0,0,0,0,0,0,24,51,752,18,2,22,47,158,1092,76,66,45,60,99,21,2,13,35,56,67,86,102,232,122,62,0,2,12,22,41,64,42,44,42,52,50,91,128,175,225,416,4044,0,0,0,0,0,0,0,0,10,62,0,0,0,0,0,89,10,0,0,0,0,0,0,0,0,4,18,0,0,212,482,834,989,2235,0,0,0,0,0,0
