87,113,132,144,799,0,0,0,17,74,0,14,35,47,50,69,82,102,116,141,214,328,946,359,455,451,112,63,23,0,0,0,0,6,13,36,51,61,58,58,75,62,70,61,64,82,101,106,107,103,346,147,118,110,124,122,132,99,88,65,37,13,28,72
213,301,247,211,929,0,0,0,0,111,8,0,14,19,19,31,41,70,90,125,262,366,566,233,409,778,127,75,29,0,0,0,6,34,72,120,187,267,352,427,532,630,758,874,1708,1773,1862,1957,2069,2208,0,1632,1494,1408,1283,1166,1057,949,282,155,62,15,44,136
0,156,220,251,1083,0,0,0,0,164,33,10,0,0,0,0,12,45,80,105,289,406,224,0,0,680,123,84,29,0,0,0,0,0,0,0,0,11,18,15,33,55,83,102,756,0,0,12,20,22,0,0,0,18,17,0,0,571,62,39,8,0,0,0
0,92,164,236,1247,0,0,0,113,222,50,45,32,0,0,0,0,39,74,90,457,253,0,0,0,588,118,89,43,0,0,0,0,0,0,0,0,0,0,0,11,35,62,81,670,0,0,0,0,0,0,0,0,0,0,0,66,511,31,14,0,0,0,0
0,66,135,209,1410,7,0,0,219,180,83,60,23,0,0,0,14,56,68,91,375,0,0,0,9,490,127,95,70,0,0,0,0,0,0,0,0,0,0,0,0,15,39,55,574,0,0,0,0,0,0,0,0,0,0,0,108,379,10,0,10,0,0,0
0,663,1164,1586,0,0,0,0,345,184,97,61,26,0,0,0,2,25,56,82,290,0,0,0,0,357,96,64,53,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,514,168,0,0,0,0,0,0,9,0,0,0,213,279,0,12,56,36,0,0
1132,1287,794,524,1719,747,676,617,574,165,99,77,42,23,12,7,0,11,34,51,208,0,0,0,0,267,84,58,64,25,22,17,42,30,24,20,57,44,16,5,0,24,0,9,274,339,278,225,164,92,47,21,72,133,226,304,392,275,231,369,533,746,875,1005
208,217,184,187,663,86,63,31,12,0,124,87,66,57,39,33,16,0,12,36,124,0,0,0,0,195,59,35,11,0,14,37,63,66,67,59,167,59,34,23,8,78,14,0,45,48,43,46,40,29,22,4,23,54,69,83,105,119,144,164,183,224,206,206
157,149,134,149,481,55,39,10,0,7,224,123,121,81,76,58,40,9,0,16,68,0,0,0,0,133,48,14,0,8,35,57,85,99,114,110,307,80,59,35,6,142,35,15,7,12,11,9,10,10,7,0,9,35,52,76,93,101,113,123,166,211,173,164
84,89,96,126,334,28,30,0,14,35,353,155,136,108,113,91,99,46,11,0,4,0,0,0,0,68,25,0,32,67,141,204,281,198,166,162,528,176,102,42,8,259,124,173,305,273,238,179,135,102,66,38,0,30,34,41,43,59,75,107,154,218,114,91
27,50,71,91,210,0,0,0,13,44,578,322,432,323,229,144,63,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,161,300,263,238,814,97,0,0,0,378,177,204,172,0,8,0,0,0,0,0,0,0,0,0,11,30,58,91,181,113,0,0
15,37,50,61,138,9,0,0,22,60,816,299,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,225,245,962,0,0,0,0,515,207,174,110,0,0,0,0,0,0,0,0,0,0,0,0,14,51,72,104,0,0,0
0,17,24,34,43,0,0,0,21,73,1019,233,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,159,220,1096,526,0,0,0,634,183,132,73,0,0,0,0,0,0,0,0,0,0,0,0,10,28,34,35,0,0,0
0,0,2,10,9,23,18,0,0,646,0,925,492,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,59,206,402,1079,1713,0,0,0,757,197,127,65,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,0,0,0
465,531,600,668,726,815,928,1003,1082,1163,1408,545,847,729,605,463,325,139,34,25,117,204,322,489,604,752,890,1023,0,353,254,170,78,24,21,56,77,100,2407,1940,1835,1745,876,673,533,413,306,221,154,94,54,17,0,0,0,0,0,30,85,150,231,282,333,414
43,44,48,43,42,54,65,72,79,87,522,167,171,186,211,221,220,137,23,21,64,106,163,195,173,204,178,194,945,114,112,88,51,21,18,52,73,99,365,140,131,118,110,100,84,100,98,88,66,33,12,0,17,0,0,0,0,30,40,48,48,42,47,53
8,12,18,12,12,18,34,49,53,61,362,114,110,120,147,191,224,202,24,21,68,118,162,178,152,156,135,153,748,67,73,75,55,18,9,39,53,79,207,92,85,77,71,69,59,61,56,50,34,11,0,9,62,0,0,0,0,0,9,10,11,11,8,10
345,375,208,125,84,0,6,15,15,33,234,85,62,54,64,114,182,339,21,23,64,137,147,169,97,93,99,142,592,25,26,34,48,11,0,35,31,50,72,61,41,38,43,23,20,14,14,15,8,0,8,34,115,14,0,0,0,27,60,114,148,192,238,310
0,201,242,208,204,0,0,0,0,7,121,62,28,0,0,0,0,298,21,22,59,183,108,68,0,35,85,150,455,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,27,63,209,26,0,0,0,0,0,0,0,0,11,17
0,98,197,245,383,0,0,0,0,0,42,37,16,0,0,0,0,254,18,22,60,120,0,0,0,44,103,142,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,53,75,317,24,0,0,0,0,0,0,0,0,0,0
0,61,139,202,543,10,0,0,19,19,13,13,22,0,0,0,15,213,21,12,70,54,0,0,0,76,122,132,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,52,91,393,0,0,0,0,0,0,0,0,0,0,0
0,50,121,187,666,0,0,0,74,47,38,26,15,0,0,0,0,129,18,10,36,0,0,12,0,93,111,104,122,0,0,0,0,0,0,0,0,12,0,0,0,0,16,0,0,0,0,10,0,32,69,102,472,0,0,0,0,0,0,0,0,0,0,0
36,60,114,191,790,401,241,74,132,71,68,48,18,0,0,0,0,81,6,0,12,18,50,106,128,150,79,51,34,0,33,33,26,19,64,59,41,70,50,37,53,44,58,20,10,0,16,50,44,53,90,131,581,0,0,0,0,10,18,21,19,25,23,28
520,643,795,1007,1544,1960,0,1218,957,609,290,135,35,0,0,0,10,49,0,8,15,17,16,18,19,22,23,21,17,31,46,67,79,71,202,92,92,99,90,77,80,70,61,38,26,8,29,58,80,84,94,136,684,0,0,0,12,34,50,109,175,251,337,423
75,99,122,128,191,317,954,375,490,475,116,74,14,0,0,0,0,9,13,30,44,51,57,61,55,64,64,73,66,72,73,93,99,97,364,130,145,141,140,126,112,104,84,78,44,13,33,63,90,130,124,145,786,0,0,0,14,71,0,10,38,50,65,75
38,66,85,108,246,364,551,185,386,779,118,81,23,0,0,0,3,34,76,126,196,273,350,437,530,631,749,874,1717,1790,1861,1964,2065,2179,0,1645,1516,1404,1266,1150,1044,969,291,171,59,11,44,134,198,294,249,227,920,0,0,0,0,108,12,0,16,19,23,36
8,44,86,128,316,435,253,0,0,678,116,83,28,0,0,0,0,0,0,0,0,12,15,21,45,61,90,105,754,0,0,14,19,24,0,0,0,14,10,0,0,576,57,30,7,0,0,0,0,145,227,267,1092,0,0,0,0,160,35,11,0,0,0,0
