275,181,254,386,314,245,149,64,13,24,76,143,244,317,391,241,171,265,0,0,17,1069,2811,17327,17399,17474,17624,22999,409,173,0,0,0,818,123,81,55,38,15,13,45,55,81,136,820,0,0,0,134,392,23023,17624,17484,17416,17337,2846,1105,14,0,0
427,232,242,203,0,13,0,0,0,0,0,0,15,0,211,269,236,424,0,0,0,1992,3344,14423,0,0,0,23187,274,130,0,0,0,731,106,52,15,10,0,0,12,14,53,119,712,0,0,0,107,267,23181,0,0,0,14389,3250,2034,0,0,0
664,299,293,129,0,0,0,0,0,0,0,0,0,0,114,296,283,622,0,0,0,4012,4608,12692,0,0,0,23329,177,77,0,0,0,645,105,50,0,0,0,0,0,0,54,116,625,0,0,0,60,199,23321,0,0,0,12760,4444,3864,0,0,0
816,225,149,0,0,0,17,0,0,0,0,13,0,0,0,165,268,812,0,3466,5991,7798,5044,10362,0,0,11,23461,150,73,0,0,0,557,114,74,15,0,0,0,0,11,73,103,537,0,0,0,57,158,23461,13,0,0,10497,5078,7693,5894,3429,0
2393,358,136,0,0,0,92,21,0,0,25,88,0,0,0,139,364,2417,4766,6879,4926,3456,2392,7798,0,0,18,23573,128,63,13,0,0,454,106,46,0,0,0,0,0,0,51,95,454,0,0,13,64,124,23595,19,0,0,7922,2407,3491,4926,6836,4816
2358,115,85,23,0,0,150,39,12,12,43,152,0,0,18,84,105,2310,4641,4176,2971,1966,1243,6589,20,0,25,23724,126,65,22,0,0,338,107,48,0,0,0,0,0,0,49,92,343,0,0,19,74,108,23734,22,0,17,6689,1301,1983,2993,4091,4706
4572,102,51,15,0,0,209,53,19,19,48,220,0,0,13,47,86,4531,6987,3515,1706,894,516,5944,15,0,0,0,251,112,28,0,0,250,99,79,15,0,0,0,0,15,72,97,257,0,0,22,110,241,0,0,0,12,5961,532,925,1745,3478,6945
9090,103,47,0,0,0,302,71,22,25,52,305,0,0,0,37,97,9106,4658,0,0,21,80,5615,0,0,0,0,14,0,0,0,10,171,62,49,14,0,0,0,0,11,37,70,165,12,0,0,0,15,0,0,0,0,5632,76,32,0,0,4615
9000,99,47,0,0,0,382,79,20,28,69,378,0,0,0,43,111,9014,0,0,0,29,100,5530,0,0,0,0,0,0,0,0,0,67,33,23,0,0,0,0,0,0,22,42,57,0,0,0,0,0,0,0,0,0,5534,95,40,0,0,0
8916,117,67,0,0,0,479,77,19,26,66,468,0,0,0,60,118,8915,19,0,0,49,101,5435,0,0,0,17,8,0,0,0,0,8,7,0,0,17,0,0,13,0,0,6,8,0,0,0,0,12,16,0,0,0,5435,106,66,0,0,18
8770,99,53,0,0,9,567,68,16,31,63,558,11,0,0,53,113,8771,13,0,0,27,65,5351,5008,4878,4709,4499,4132,3648,3008,2180,1191,596,403,287,205,130,26,31,128,200,289,384,570,1144,2164,3067,3692,4136,4490,4697,4867,4991,5341,61,36,0,0,12
8674,112,86,15,0,19,691,70,19,33,71,663,19,0,12,82,121,8665,0,0,0,39,64,259,172,221,336,540,838,1209,1614,1905,1110,289,131,91,67,49,11,11,52,67,88,110,279,1072,1918,1667,1144,789,531,351,237,186,269,56,37,0,0,0
8562,87,63,13,0,0,752,59,19,27,79,736,0,0,11,60,103,8552,0,0,0,50,36,90,51,71,117,212,364,712,1335,2650,1902,359,96,62,33,39,0,0,39,29,56,102,364,1901,2720,1375,681,376,219,129,71,53,92,38,50,0,0,0
8479,73,45,0,0,0,840,71,25,33,76,818,0,0,0,38,105,8466,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,3353,590,91,40,0,0,0,0,0,0,29,89,568,3371,1682,0,0,0,0,0,0,0,0,0,0,0,0,0
8401,82,32,0,0,12,947,75,27,38,87,929,10,0,0,36,113,8374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3017,956,107,48,0,0,0,0,0,0,35,106,936,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8312,97,39,0,0,0,1022,75,23,35,88,996,0,0,0,44,110,8289,1522,943,0,0,0,0,0,0,0,0,0,0,0,0,2543,1715,129,81,0,0,0,0,0,0,67,133,1712,2572,0,0,0,0,0,0,0,0,0,0,0,0,972,1508
6690,111,52,0,0,0,1132,78,28,33,97,1111,0,0,0,59,109,6658,1071,1885,1732,1578,1383,1246,1091,921,688,402,159,45,0,0,1662,3272,133,68,0,0,0,0,0,0,58,137,3280,1676,0,0,46,159,424,692,921,1084,1262,1387,1585,1758,1898,1051
6029,115,71,11,0,0,1206,73,25,32,84,1195,0,0,11,69,115,6034,183,230,264,268,180,202,264,370,487,470,95,53,0,0,0,3160,156,100,14,0,0,0,0,10,101,158,3169,0,0,0,51,100,452,471,369,260,210,163,280,271,210,173
5839,114,54,0,0,0,1292,69,20,30,77,1282,0,0,0,50,131,5834,80,112,203,353,100,85,116,210,395,784,108,69,17,0,0,3050,160,91,0,0,0,0,0,0,103,177,3057,0,0,9,68,105,779,414,205,114,90,105,362,195,106,81
5693,125,47,0,0,15,1375,61,25,28,78,1382,12,0,0,47,145,5684,0,0,0,261,68,26,0,0,0,688,96,44,0,0,0,2914,179,114,0,0,0,0,0,0,132,198,2895,0,0,0,43,92,694,0,0,0,24,81,263,0,0,0
5575,158,71,0,0,25,1472,74,32,28,71,1480,20,0,0,64,175,5566,0,0,0,191,64,25,0,0,0,609,87,44,0,0,0,2790,231,212,93,0,0,0,0,103,230,225,2762,0,0,0,41,79,615,0,0,0,19,70,185,0,0,0
5460,195,101,11,0,30,1615,76,26,27,68,1595,18,0,13,102,221,5450,0,5,0,115,68,24,0,0,0,526,79,53,0,0,0,2629,201,169,164,83,26,27,94,169,172,184,2616,0,0,0,48,73,544,0,0,0,21,73,118,0,11,0
5324,264,92,0,0,0,1688,64,22,34,72,1678,0,0,0,91,285,5312,322,254,134,98,62,22,0,0,0,426,68,24,0,0,0,2486,166,133,96,59,25,26,61,89,127,144,2484,0,0,0,20,73,436,0,0,0,21,70,107,120,242,329
4796,413,136,0,0,0,1776,62,21,33,61,1757,0,0,0,154,424,4788,78,96,79,79,55,22,0,0,13,353,60,22,0,0,0,2371,132,111,72,49,21,20,49,74,110,134,2379,0,0,0,21,69,354,10,0,0,24,55,67,63,97,88
4494,649,270,0,0,11,1878,66,25,36,75,1863,10,0,0,275,615,4487,35,55,35,48,28,25,0,0,0,252,51,18,0,0,0,2245,107,86,55,36,11,11,38,52,87,105,2243,0,0,0,20,61,251,0,0,0,25,26,49,42,63,35
4092,915,445,0,0,0,1952,66,22,33,84,1940,0,0,0,445,925,4108,0,0,0,0,0,0,0,0,0,176,44,11,0,0,0,2152,89,51,18,14,0,0,14,17,58,84,2150,0,0,0,19,46,168,0,0,0,0,0,0,0,0,0
3617,1367,887,0,0,1015,2033,75,31,28,81,2016,1015,0,0,891,1397,3602,0,0,0,0,0,0,0,0,0,112,25,25,0,0,196,2067,83,36,0,0,0,0,0,0,33,75,2065,188,0,0,25,21,109,0,0,0,0,0,0,0,0,0
2890,1835,1698,0,806,1600,1090,68,23,29,83,1077,1571,765,0,1808,1855,2860,271,0,0,0,0,0,0,0,0,38,0,29,0,202,358,1765,93,45,0,0,0,0,0,0,47,96,1775,346,206,0,24,0,35,0,0,0,0,0,0,0,0,256
1624,1946,3492,3289,3054,1975,907,170,57,45,168,949,2021,3052,3296,3471,1816,1585,483,409,321,212,135,71,0,0,0,43,92,211,292,373,257,1487,97,59,0,0,0,0,0,0,51,85,1498,226,369,292,212,79,48,0,0,0,70,137,213,301,405,487
