0,0,0,0,0,0,756,132,23,12,0,0,0,11,16,1012,228,0,0,150,57,30,0,0,57,31,25,8,0,0,0,6,19,322,0,0,0,0,0,0,0,0,43,223,10,5,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,52,42,18,0,0,9,22,88,0,0,0,0,0,0,0,0,0,56,84,760,0,0,0,37,90,927,1292,0,0,14,29,112,0,0,573,916,896,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,32,15,10,0,0,0,6,0,6,0,0
0,0,3,6,0,0,813,82,23,11,0,0,0,7,17,880,468,0,97,179,44,22,0,0,85,35,19,6,0,0,0,4,18,303,4,0,0,0,0,3,0,50,99,160,11,5,0,1,3,0,0,0,0,0,5,10,11,8,5,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,383,45,47,39,14,0,1,19,65,0,0,0,0,0,0,0,0,48,97,78,710,0,0,0,19,65,535,1565,0,0,13,24,134,67,0,1172,1161,871,2098,0,0,0,0,0,2,0,0,1,0,0,0,0,0,44,36,20,10,0,0,0,0,7,21,17,14
19,20,19,28,0,0,0,2121,69,34,3,0,0,5,13,614,996,979,952,825,704,637,566,516,413,197,49,24,0,0,0,6,19,274,0,0,0,18,37,68,88,107,78,79,1,0,5,8,16,11,10,7,0,0,5,17,22,20,19,12,19,11,14,12,9,11,10,10,5,4,8,17,10,22,4,2,0,0,0,20,44,78,128,180,222,352,33,36,32,28,10,3,14,46,0,0,0,11,27,47,63,81,100,76,61,670,0,0,0,27,87,378,1966,1983,1999,2030,2065,2158,2256,2278,2294,1146,606,1642,1253,1232,1195,1142,1085,1006,868,669,456,185,119,82,51,23,29,25,22,11,0,0,0,5,9,15,18,27
29,24,27,56,1,0,0,2003,30,21,0,0,0,4,11,64,19,28,32,47,58,86,105,167,225,223,19,7,0,0,0,9,17,255,0,0,2,14,14,22,20,23,23,30,0,3,14,13,19,21,24,27,0,0,0,14,26,28,36,34,35,28,29,31,22,22,17,28,23,17,13,18,20,47,15,14,4,0,0,11,26,40,57,76,74,98,17,19,16,18,9,3,8,35,4,0,0,4,11,8,14,19,23,31,33,622,0,0,0,2,10,13,17,18,16,27,22,28,29,22,18,24,22,73,39,52,72,99,148,239,362,442,473,95,65,37,23,22,28,19,22,16,4,0,0,6,15,22,34,37
488,511,274,214,0,0,0,1979,27,18,0,0,0,6,8,36,12,10,9,17,25,28,48,97,210,411,23,6,0,0,0,9,19,237,7,0,0,10,10,13,16,14,9,14,7,15,21,20,21,32,37,57,0,0,0,11,36,60,93,118,152,180,220,320,358,413,425,449,478,500,526,541,561,342,21,10,0,0,0,10,25,49,86,99,52,36,11,14,12,5,3,6,6,15,0,0,0,6,8,8,13,17,14,19,25,599,0,0,0,0,4,10,10,7,7,14,8,19,10,7,7,11,15,19,14,23,29,41,62,116,231,440,861,103,77,42,8,7,15,9,14,7,0,0,0,24,65,234,433,461
0,261,244,346,0,0,0,1953,37,28,4,0,0,0,0,10,8,3,0,0,3,0,0,0,0,390,26,9,0,0,0,7,15,201,9,0,0,0,0,0,3,0,0,0,0,14,38,60,73,96,71,104,0,0,0,0,0,0,3,0,2,15,26,102,39,26,0,0,0,0,0,0,295,666,22,15,0,0,0,12,34,69,91,40,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,570,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,801,129,103,68,0,0,0,0,1,0,0,0,12,31,47,316,170,0
0,151,201,463,0,0,313,1925,30,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,29,15,0,0,0,6,18,179,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,68,153,86,0,0,0,0,0,0,0,3,12,20,85,0,0,0,0,0,0,0,0,0,686,20,9,0,0,0,16,25,88,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,24,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,133,123,128,64,0,0,0,0,0,0,0,17,32,54,281,0,0
0,83,149,531,0,391,581,1585,42,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,22,12,0,0,0,7,18,152,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,51,103,152,68,0,0,0,0,0,0,0,9,21,67,0,0,0,0,6,2,0,0,357,710,21,12,0,0,0,7,18,71,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,8,22,530,148,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,655,133,99,115,124,79,0,0,0,0,0,0,20,34,46,242,0,0
3,55,165,722,741,761,394,1278,54,28,3,0,0,14,25,41,69,91,111,135,164,181,201,220,243,329,20,11,0,0,0,8,16,123,29,15,6,0,9,4,12,8,7,20,7,6,0,0,0,13,39,72,127,135,68,40,21,13,0,0,0,6,12,43,0,0,0,0,60,89,160,313,554,372,20,9,0,0,0,5,20,56,0,0,0,10,11,7,10,12,6,7,7,16,13,9,6,4,2,0,0,0,0,14,22,353,320,251,174,102,46,22,3,0,0,4,17,22,13,8,3,4,4,6,0,0,3,24,44,80,129,171,579,130,61,80,91,145,108,70,25,7,8,28,41,45,48,207,0,0
0,5,17,20,20,28,26,1029,69,24,0,0,0,4,7,17,18,19,19,26,22,15,13,24,25,61,19,16,2,0,0,8,12,88,9,0,0,4,15,11,20,21,18,52,12,5,0,0,3,11,29,57,100,132,112,82,48,46,0,0,0,3,10,30,0,0,0,215,0,836,766,674,498,238,40,17,2,0,4,16,24,39,0,0,0,31,19,27,27,23,25,23,22,26,23,21,12,10,10,8,0,0,0,8,16,154,116,124,128,98,23,11,3,0,3,13,19,56,26,22,20,20,13,8,0,0,6,17,29,45,64,62,345,215,31,33,35,52,56,68,23,9,4,11,12,26,30,174,0,0
